Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
William,Andersson,Ekstigen 77,Karlstad,62084,Sverige,SE,19470612-2824,+46,031-918 90 44,1947-06-12,True
Anna,Vik,Hauglandstubben 31A,Dahl,9220,Norge,NO,19750907-4746,+47,08752092,1975-09-07,True
Nils,Sivertsen,Dahltjernet 6C,Håkonsjøen,7635,Norge,NO,19660301-2559,+47,+47 11 16 06 16,1966-03-01,True
Sigurd,Persson,Åkerstigen 015,Borlänge,87773,Sverige,SE,19581121-5748,+46,08-685 97 17,1958-11-21,True
Erik,Dahl,Thomassenstykket 5C,Karlø,3155,Norge,NO,19630301-2127,+47,486 10 183,1963-03-01,True
Camilla,Jenssen,Hauglandtoppen 8,Martinsen,5427,Norge,NO,19891221-1329,+47,44761371,1989-12-21,True
Inga-Lill,Nyberg,Parkgatan 14,Falun,38947,Sverige,SE,19680826-0357,+46,08-358 225 41,1968-08-26,True
Lennart,Larsson,Nygatan 773,Luleå,90333,Sverige,SE,19491210-0190,46,0462-586 51,1949-12-10,True
Daniel,Fitzgerald,Watkins Drive 272,West Scott,64847,Danmark,DK,19900506-4086,+45,(362)653-9622x26094,1990-05-06,True
Viola,Persson,Åkervägen 91,Lund,24922,Finland,SE,19930916-1371,+46,026-651 04 10,1993-09-16,True
Eva,Olsson,Skogsvägen 0,Stockholm,33786,Sverige,SE,19430801-3622,+46,094-46 16 04,1943-08-01,True
Donna,Wright,Connor Lane 27417,Flowersshire,46243,Danmark,DK,19810711-7722,+45,445-645-4608x2643,1981-07-11,True
Andreas,Holmqvist,Industrivägen 926,Uddevalla,92584,Sverige,SE,19970511-9623,+46,+46 (0)251 600 82,1997-05-11,True
Gloria,Edwards,French Dale 7089,East Peggyton,43442,Danmark,DK,19611220-3358,+45,525.284.3867,1961-12-20,True
Lisa,Söderlund,Skolvägen 39,Umeå,68688,Sverige,SE,19840605-2407,+46,08-933 32 81,1984-06-05,True
Bente,Jenssen,Danielsenvika 2F,Sandvik,8524,Norge,NO,19750401-8227,+47,50 76 35 43,1975-04-01,True
Kirsti,Moilanen,Caloniuksentie 7,Heinola,30971,Finland,FI,19571223-8849,+358,+358 537498613,1957-12-23,True
Robert,Franzén,Skolgränd 03,Östersund,83299,Sverige,SE,19671116-6944,+46,069-12 18 74,1967-11-16,True
Wilhelm,Nordström,Storstigen 65,Karlskrona,75302,Sverige,SE,19410222-3065,+46,+46 (0)8 985 451 76,1941-02-22,True
Brian,Miller,Gibbs Courts 35062,New Jamiehaven,93105,Danmark,DK,19750921-4595,45,+1-505-991-9737x377,1975-09-21,True
Lina,Vikström,Ringgatan 7,Västerås,34936,Sverige,SE,19700413-6864,+46,+46 (0)904 120 55,1970-04-13,True
Jenny,Mattsson,Industrigatan 51,Borås,58894,Sverige,SE,19661203-0482,+46,08-480 554 21,1966-12-03,True
Kim,Tangen,Eriksenhaugen 39,Randivær,6091,Norge,NO,19620810-3896,+47,+4782651066,1962-08-10,True
Maj,Holmqvist,Järnvägsgränd 7,Västerås,41083,Sverige,SE,19640329-7880,+47,+46 (0)8 625 988 33,1964-03-29,True
Alf,Wahlström,Björkgatan 31,Göteborg,23780,Sverige,SE,19651210-2083,+46,08-593 76 41,1965-12-10,True
Håkan,Johansson,Idrottsgränd 33,Helsingborg,29950,Sverige,SE,19770506-7760,+46,0642-29 73 01,1977-05-06,True
Johnny,Johnson,Benjamin Ranch 11706,North Javier,94136,Danmark,DK,19800826-5412,+45,732.650.6471,1980-08-26,True
Michael,Andersson,Parkvägen 763,Kalmar,42693,Sverige,SE,19720228-0272,+46,0893-83 49 18,1972-02-28,True
Vilhelm,Jansson,Fabriksgatan 60,Sundsvall,24798,Sverige,SE,19620718-3166,+46,+46 (0)851 323 71,1962-07-18,True
Johan,Johnsson,Björkvägen 946,Norrköping,32322,Sverige,SE,19770601-7888,+46,08-08 86 88,1977-06-01,True
Magdalena,Norén,Storgatan 9,Borås,93012,Sverige,SE,19500321-0897,+46,0457-798 37,1950-03-21,True
Linda,Scott,Underwood Courts 422,Port Jessicamouth,07429,Danmark,DK,19840331-3094,+45,372-666-4804x8307,1984-03-31,True
Cameron,Wilkins,Terry Gateway 65057,Lake Matthewfort,61261,Danmark,DK,19510303-9178,+45,(924)960-6675,1951-03-03,True
Birgitta,Ekberg,Parkgatan 72,Stockholm,61355,Sverige,SE,19580722-5829,+46,08-545 85 90,1958-07-22,False
Sharon,Sanchez,Marie Estates 415,Mckenziestad,82737,Danmark,DK,19630525-3721,+45,(360)332-0634,1963-05-25,True
Karl,Mårtensson,Granvägen 2,Alingsås,16521,Sverige,SE,19800903-1401,+46,0621-30 09 37,1980-09-03,True
Charlotte,Dahlgren,Furutorget 538,Sundsvall,24074,Sverige,SE,19571009-5047,+46,08-668 152 57,1957-10-09,True
Irma,Johansson,Granvägen 10,Göteborg,64845,Sverige,SE,19820222-6418,+46,+46 (0)70 07 66 63,1982-02-22,True
Marie,Sæther,Martinsenbråten 3B,Mathisen,5487,Norge,NO,19720114-4929,+47,60648983,1972-01-14,True
Kurt,Vikström,Grangatan 78,Växjö,79538,Sverige,SE,19460918-5615,+46,08-428 21 22,1946-09-18,True
Viktoria,Axelsson,Parktorget 03,Kalmar,51256,Sverige,SE,19520719-9094,+46,08-00 82 61,1952-07-19,True
Thomas,Nilsson,Fabrikstorget 49,Piteå,11972,Sverige,SE,19690812-8357,+46,001-87 56 13,1969-08-12,True
Martin,Persson,Strandvägen 19,Sandviken,78059,Sverige,SE,19550912-0925,+46,000-195 15 96,1955-09-12,True
Øyvind,Tveit,Ødegårdvollen 3C,Svendsen,5828,Norge,NO,20000413-0666,+47,14 64 11 93,2000-04-13,True
Hanne,Aune,Haugbråten 91A,Sørensen,9780,Norge,NO,19680408-5536,+47,88 33 91 48,1968-04-08,True
Kristina,Arvidsson,Idrottsgatan 3,Eskilstuna,99786,Sverige,SE,19430317-6901,+46,08-23 78 60,1943-03-17,True
Christina,Sundström,Skolgatan 397,Örnsköldsvik,79040,Sverige,SE,19571027-7320,+46,08-260 937 98,1957-10-27,True
Marja-Leena,Miettinen,Ehrensvärdinpolku 10,Isojoki,80300,Finland,FI,19651125-0582,+358,(+358) 276041960,1965-11-25,True
Mason,Coffey,Stephen Points 1346,Lake Michaelmouth,17600,Danmark,DK,19460301-8451,+45,(463)490-1266,1946-03-01,True
Alexander,Johns,Jenkins Road 52880,East Juliemouth,30400,Danmark,DK,19670322-1931,+45,501.583.2625x278,1967-03-22,True
Susanne,Fredriksson,Industrigatan 98,Örnsköldsvik,89407,Sverige,SE,19480830-9000,+46,08-51 21 44,1948-08-30,True
